SLURM_id,gamma,flux_wind_forcing,Nu
711159,2,1E-10,1.22615717174668
711514,2,0,1.22615722891391
711620,2,0.00000001,1.22558540451705
711717,2,0.0000001,1.16761725125968
711775,2,0.0000005,1
711930,2,0.0000002,1.00000144364877
712378,2,0.00000015,1.08624970036409
712423,2,0.00000025,1.00000000002609
712445,2,0.0000003,1
714207,2.5,0,1.53877918070987
714222,2.5,1E-10,1.53877914115587
714256,2.5,0.000000001,1.53877522529347
714271,2.5,0.00000001,1.5383834779291
714276,2.5,0.0000001,1.49764798204411
714358,2.5,0.000001,1
714366,2.5,0.0000005,1
714415,2.5,0.0000002,1.35849865434857
714446,2.5,0.0000003,1.10766097036767
714452,2.5,0.0000004,1.00000000000001
714457,3,0.0000004,1.3593754964283
714472,3,0,1.76614413358308
